,ROI_1,ROI_2,ROI_3,ROI_4
sub-101,0.005117080334695517,0.01387095635151341,0.01853129862466325,0.017434855359557397
sub-102,0.004819543407853158,0.005489628135011886,0.008966091059578223,0.004457156551803332
sub-103,0.0038464266576949797,0.024003548799016557,0.010129588782004987,0.0004183808214787169
sub-104,0.0006327702917257716,0.008049421287829607,0.01676918164356935,0.003944096400195055
sub-105,0.01850175081030869,0.003861304124575144,0.028022516028164763,4.132301842022527e-05
sub-106,0.029854616338778332,0.003371800203476513,0.008054639030846283,0.006263233603809931
sub-107,0.00019052378249997953,0.0024035130637184744,0.007603908710293251,0.025966044484278774
sub-108,0.019235153661278395,0.0033793928067488233,0.024262550116299443,0.007521617836425657
sub-109,0.003243552737989526,0.02628417997278323,0.02035189611766353,-0.0015622724393985345
sub-110,0.019627871240029533,0.022378605159734687,0.004782707735779442,0.005499065019935482
sub-111,0.02007260706422622,0.011407086528818852,0.02936285559510537,-0.001219145777344399
sub-112,0.01660177345210223,0.02207323157618686,0.01183446023618902,0.002365624274353143
sub-113,0.021963255408425055,0.02795032403762916,0.002935335363026468,8.485834538137409e-05
sub-114,0.0016167610027515162,0.0049626224694096135,0.006839778497275504,0.02581510281746932
sub-115,0.00443237202743547,0.006658066931763228,0.023807548607523262,0.004981357341566714
sub-116,-0.0023382792665579224,0.027445022719534706,0.01372834073685283,0.002959126970169725
sub-117,0.03078184852068892,0.021687665736765623,0.0051038387684419475,0.01790988209627297
sub-118,0.009378657479835394,-0.0015754850618978874,0.03264124849748225,0.02268729238390069
sub-119,0.025306477716009343,0.002380065027101913,0.006517846211740534,-9.731236405250633e-05
sub-120,0.023294595667343404,0.00753252288507407,0.005089824825647002,0.01109299848344893
sub-121,-0.0019394917732688916,-0.0009006560245878562,0.005735371769161625,0.007953982032384998
sub-122,0.02858469379453117,0.005361952368921825,0.008648016052388652,0.016895302533921852
sub-123,-5.0782784942969065e-06,0.0033567313014954696,0.0035487959425674607,0.02538543106262891
sub-124,0.0018161476910958639,0.0007195113005833565,0.0031071928277362215,0.018249527222464257
sub-125,0.019552117269844523,0.006444040366427809,0.0070716289675829954,0.004482373750320798
sub-151,0.027646815051789408,0.024978080297920334,0.003732433708651356,0.007322182055678583
sub-152,0.007507373122402681,0.004766868435729139,0.004519451718832818,0.0027362528492229253
sub-153,0.002081553060630072,0.019850226526368257,0.002672325074611212,0.004359815789085462
sub-154,-0.0003603582350719456,0.00433857344411263,0.008604203026038803,0.012582183077607527
sub-155,0.00646202033086451,0.002478835162658542,0.008371230645015184,-0.0015305996903563894
sub-156,0.029629974949829482,0.025628313386752123,0.023910724407429557,0.022496271202399592
sub-157,0.010474074361798315,0.002810453846778213,0.00336126473899835,0.011592004496783336
sub-158,0.02484858483407497,-0.002186032154594238,0.022860917030632286,0.007630366843041532
sub-159,0.02704078244295026,0.016354353647556122,0.006503031340753286,0.001613548320300824
sub-160,0.02382772023198246,0.006232761249671733,0.004511584000909361,0.007531383357535846
sub-161,0.02255140266607721,0.0016761368044941928,0.024977566739797064,0.018225365206555738
sub-162,0.0074664761985656315,-0.003078248611169437,0.004535066176035354,0.023225110807423503
sub-201,0.023140320687556802,0.005038826121658263,-0.0033444278250999025,0.017211123365375103
sub-202,0.03310636640089539,0.0003768917329375344,0.024677535634535765,0.0004391772716832091
sub-203,0.021079284445447773,0.02221811168983117,0.02360898146690967,0.007899917634208747
sub-204,0.027355478817259075,0.003853785183127767,0.0156625496733203,0.020364205997334517
sub-205,0.021621894388736438,0.023774625621644722,0.02411075747609476,0.030257588553256425
sub-206,-3.398180521646721e-05,0.006606972948853561,0.027888123897400918,0.005969341881025815
sub-207,0.028212141486950837,0.021827553113187823,0.006420087010045293,0.003965726109325972
sub-208,0.019786202899357355,0.019395100935770234,0.0025772864039398016,0.026208679187967994
sub-209,0.0032296120320102826,0.024429534306682953,0.01595599790758649,0.017979601289909643
sub-210,0.013278392846795915,0.003341980959409441,0.003476839595210526,0.005154254394924597
sub-211,0.007309008242383453,0.006632412073350281,0.003880334775856853,0.005671757899736652
sub-212,0.02419768043154686,0.018941858649884336,0.008308029430254995,0.004820087869045267
sub-251,0.02316869525226903,0.007873016194266513,0.0012021318212482774,0.018988763851171375
sub-252,0.004729843227019222,0.0015822102896203383,0.003810490699937738,0.0036436058829038332
sub-253,0.0004339753769643918,0.02402565273191329,0.03018122735587695,0.00501384445178958
sub-254,0.022217004907610673,0.02006599978625478,0.004471700679711289,0.003684696157562703
sub-255,0.004331476983806646,0.0032056206421073306,0.026596504316718436,0.01780331789207789
sub-256,0.029301499625723107,0.02129435439343174,0.024262810401861894,0.007566882989580442
sub-257,-0.0013682301468618708,0.006213930152286258,0.0030800338889716856,0.003598280698223092
sub-258,0.005599773137442919,0.019340850246169848,0.019468060019884756,-0.0021302607757817406
sub-259,0.0034744401083564294,0.005337255521458874,-0.0004762238962808249,0.02805991465184903
sub-260,-0.002143693161394669,0.02142165721280203,0.00474395840520158,0.011038845579343733
sub-261,0.010357059137920883,0.0020065932771806054,0.026387576615873817,0.012926773737535084
sub-262,0.00542392703606611,0.029609839433549154,0.0217465181694052,0.002070478497534005
sub-351,0.02505609323179405,0.02475835730279614,0.006095234375082632,-0.0022808415925373252
sub-352,0.0034909200166809437,-0.002058765835592871,0.014524016092401545,0.0021556459212097663
sub-401,0.0007415755742272469,0.006823410820860582,0.004516132729054342,0.006373972659906537
sub-402,0.021417409150334642,0.019751053866577304,0.004690202529398682,0.006989907247956315
sub-403,0.006669460515756078,0.00883334268056083,0.019954543099413316,0.00635803809042982
